loudness,sub_bass,bass,low_mid,mid,high_mid,presence,brilliance,pulse
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025136932,0.00036877397,0.0001316253,0.00018857872,0.00011993321,0.00019986797,0.00020504836,0.00037485381,0.0
0.071414545,0.0030814984,0.0020707934,0.010672105,0.0075214044,0.0077562626,0.00306456,0.0009854793,0.0
0.5151743,0.32563186,0.18214986,0.23657823,0.3530551,0.5257721,0.26899356,0.21099025,1.0
0.5489546,0.32563186,0.42187694,0.23657823,0.3530551,0.5257721,0.26899356,0.23337673,0.0
0.5489546,0.23252136,0.36104113,0.23657823,0.28955096,0.469345,0.26526147,0.2138381,0.0
0.5489546,0.21223241,0.36104113,0.5134841,0.25142547,0.36661223,0.2385574,0.2138381,0.0
0.5709209,0.20534791,0.33969116,0.58402663,0.17068915,0.26309612,0.1869407,0.17915316,0.0
0.52342,0.20534791,0.27774432,0.5134841,0.068790555,0.09811631,0.12572438,0.13433304,0.0
0.44492427,0.21980329,0.33969116,0.34221148,0.0515265,0.05195823,0.056599777,0.060991768,0.0
0.37395635,0.21980329,0.27774432,0.26756516,0.02541588,0.042737927,0.030939274,0.027258903,0.0
0.15619983,0.17774998,0.122179836,0.092176154,0.016160507,0.033550765,0.020274514,0.017426193,0.0
0.07437873,0.05984509,0.040508375,0.057841845,0.009425532,0.020683376,0.012585429,0.012461462,0.0
0.043876894,0.051416356,0.023995526,0.026346557,0.007001004,0.015601807,0.011347815,0.009014773,0.0
0.026577927,0.04619155,0.021606456,0.010162254,0.0044463878,0.010286341,0.009649262,0.0078121684,0.0
0.018674938,0.03295027,0.015953526,0.0046375464,0.0030274037,0.008215239,0.008068142,0.006090133,0.0
0.011247547,0.0059807654,0.00710829,0.0024817027,0.0017614013,0.006490603,0.0057801516,0.0053628855,0.0
0.0051451526,0.0017939718,0.0024303219,0.0013422391,0.0012328414,0.0033291192,0.0044357115,0.0039706817,0.0
0.0027383433,0.00059830735,0.0004015028,0.00082368427,0.0008354773,0.002497093,0.0033150837,0.0033031723,0.0
0.0019510182,0.00018274205,0.00013995549,0.00034398056,0.0005100915,0.002042704,0.0024489562,0.002327246,0.0
